City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,malvan,16.0667,73.4667,29.39,77,64,8.93,IN,1686522640
331,vorkuta,67.5,64.0,-0.07,82,100,8.12,RU,1686522640
332,zhelezinka,53.54,75.3072,15.61,59,37,3.38,KZ,1686522640
333,krasnyy kholm,58.0607,37.1203,6.41,69,57,0.57,RU,1686522640
334,karaidel',55.8337,56.9069,3.93,77,88,1.49,RU,1686522640
335,grand-bassam,5.2118,-3.7388,26.98,86,87,3.79,CI,1686522640
336,yamada,39.4667,141.95,17.93,100,100,1.06,JP,1686522641
337,la jolla,32.8473,-117.2742,19.73,81,100,4.12,US,1686522586
338,angaur state,6.906,134.13,28.75,76,67,5.62,PW,1686522641
339,longyearbyen,78.2186,15.6401,2.91,81,75,3.09,SJ,1686522641
340,manado,1.487,124.8455,24.43,94,20,0.51,ID,1686522641
341,miri,4.4148,114.0089,26.08,89,20,1.54,MY,1686522641
342,balcarce,-37.8462,-58.2552,1.57,79,0,3.16,AR,1686522641
343,cestos city,5.46,-9.5828,25.88,87,98,6.86,LR,1686522641
344,bakchar,57.0186,82.0711,12.1,68,10,3.88,RU,1686522642
345,nema,57.5067,50.5011,3.7,79,3,2.07,RU,1686522642
346,tocopilla,-22.092,-70.1979,15.84,85,53,4.8,CL,1686522642
347,pierre,44.3683,-100.351,23.51,40,20,1.79,US,1686522553
348,minzhu,43.7286,127.3447,14.26,93,100,0.88,CN,1686522642
349,saint-philippe,-21.3585,55.7679,20.77,90,75,3.09,RE,1686522642
350,belmonte,-15.8631,-38.8828,23.72,82,0,2.57,BR,1686522576
351,boulsa,12.6675,-0.5758,29.71,54,63,6.33,BF,1686522643
352,kirando,-7.4167,30.6,24.97,61,45,2.13,TZ,1686522643
353,gelemso,8.8167,40.5167,18.39,64,100,2.96,ET,1686522643
354,mount gambier,-37.8333,140.7667,10.6,74,60,3.5,AU,1686522643
355,lianran,24.9227,102.485,15.3,89,100,0.32,CN,1686522643
356,gizo,-8.103,156.8419,28.34,74,16,1.88,SB,1686522643
357,sakaiminato,35.55,133.2333,20.99,94,75,1.03,JP,1686522355
358,palikir - national government center,6.9248,158.1611,29.41,79,100,5.14,FM,1686522644
359,kinablangan,7.6947,126.5503,26.76,82,31,0.98,PH,1686522644
360,barra de santo antonio,-9.4047,-35.5072,25.6,94,4,1.04,BR,1686522644
361,kapuskasing,49.4169,-82.4331,12.05,54,75,4.12,CA,1686522644
